id,role,permission,resource,action,description,conditions,created_at,updated_at
27e59eb3-cefe-4ce1-b132-ca20675a2295,guest,read,public_content,view,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
b9b419ba-2e9a-4521-b4ff-1cdc40ab2d5f,viewer,read,yachts,view,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
c97b2154-c400-4485-80f0-cd4c5db5fc82,viewer,read,reports,view,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
55cf356b-eab3-48a0-b2ab-707bbd666881,viewer,read,inventory,view,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
1a1155d0-b844-4c05-b419-a304343cfeb8,user,read,yachts,view,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
56bc543b-bc47-435a-91f1-8f014084ada0,user,write,yachts,update_assigned,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
d2185493-815e-4bc5-a99b-099183aba4d5,user,read,inventory,view,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
c575253c-ed9b-42dc-b5b6-32ef007c798c,user,write,inventory,update_assigned,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
4d26b90a-34fd-41bd-abb1-4da4a3071f81,user,read,reports,view,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
fdf68269-874e-475c-9d77-b2a162f45dfd,user,write,reports,create_own,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
24717253-b43f-4f2c-bf34-710529f20fb3,user,read,profile,view_own,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
88d386ad-fcc9-46c0-9a33-9d3954b989c7,user,write,profile,update_own,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
a37b55b8-8fcb-4328-81e5-df8250b931dc,manager,read,yachts,view_all,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
379e6002-3c3a-4fd6-9a44-1e793500093c,manager,write,yachts,update_all,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
7616e298-831d-41bd-a2f5-23a2d4ff80e5,manager,read,users,view_team,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
637dfd10-7624-4a22-8e2a-de054dbef4e9,manager,write,users,manage_team,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
4d55f1e4-3fc2-4465-b16d-4bc55356db86,manager,read,inventory,view_all,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
a89322aa-69bf-402c-b02b-188b6ea191d1,manager,write,inventory,manage_team,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
fddbd684-4eb6-47dd-b10a-37c947bd51a9,manager,read,reports,view_all,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
c1be2828-1c2f-4f26-b3bd-ef97191d6872,manager,write,reports,manage_team,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
ef7de714-73a3-403c-b00d-b31191949f27,manager,read,analytics,view_team,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
697d2442-8af8-4c06-ba02-583774db560c,admin,read,users,view_all,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
572ef962-18b4-493b-bc1a-497d3b21628c,admin,write,users,manage_all,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
c6c87daa-8b07-4376-a33f-d0d0cecd7dbf,admin,delete,users,deactivate,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
5d3e6a4d-e009-4544-b92c-15a638151c62,admin,read,system,view_config,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
8d9d56f0-81ab-4689-b1e8-c11957dc0aaf,admin,write,system,configure,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
a0b3ea65-1c38-41e3-9722-5ba61c16f835,admin,read,yachts,view_all,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
b1faedd3-82dc-4a4d-87c7-a40bd666ff63,admin,write,yachts,manage_all,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
09d1552e-1004-4e88-a3b2-33c485fade65,admin,delete,yachts,delete,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
73877dfc-7b43-496f-bffb-3e1195ffa6aa,admin,read,analytics,view_all,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
f3c29610-e621-4d07-af07-bd07bfccf218,admin,write,roles,assign_standard,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
5d3cc702-fd0f-420e-bf27-2afa4c20fca9,superadmin,admin,*,*,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
a5d72575-db6b-4f76-a862-cd62f9e706de,superadmin,read,*,*,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
ee1ec8aa-4fa6-4adf-a100-db991f5020ff,superadmin,write,*,*,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
6004ee1f-ce67-40b9-94a7-5e391508a9c1,superadmin,delete,*,*,,{},2025-10-12 08:38:27.368398+00,2025-10-12 08:38:27.368398+00
