schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,user_profiles,Users can view their own profile,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),
public,user_profiles,Users can update their own profile,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),
public,user_profiles,Admins can view all profiles,PERMISSIVE,{public},SELECT,"user_has_permission('read'::text, 'users'::text, 'view_all'::text)",
public,user_profiles,Admins can manage all profiles,PERMISSIVE,{public},ALL,"user_has_permission('write'::text, 'users'::text, 'manage_all'::text)",
public,user_roles,Managers can view team roles,PERMISSIVE,{public},SELECT,"user_has_permission('read'::text, 'users'::text, 'view_team'::text)",
public,user_roles,Admins can manage user roles,PERMISSIVE,{public},ALL,"user_has_permission('write'::text, 'roles'::text, 'assign_standard'::text)",
public,role_permissions,All authenticated users can view permissions,PERMISSIVE,{authenticated},SELECT,true,
public,role_permissions,Only superadmins can modify permissions,PERMISSIVE,{public},ALL,public.is_superadmin(),
public,user_profiles,Service role full access - profiles,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),
public,user_roles,Service role full access - roles,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),
public,role_permissions,Service role full access - permissions,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),
public,audit_workflows,Authenticated read access,PERMISSIVE,{authenticated},SELECT,true,
public,audit_workflows,Authenticated write access,PERMISSIVE,{authenticated},INSERT,,true
public,audit_workflows,Authenticated update access,PERMISSIVE,{authenticated},UPDATE,true,true
public,ai_models_unified,Service role full access,PERMISSIVE,{service_role},ALL,true,true
public,ai_models_unified,Authenticated read access,PERMISSIVE,{authenticated},SELECT,true,
public,ai_models_unified,Authenticated write access,PERMISSIVE,{authenticated},INSERT,,true
public,ai_models_unified,Authenticated update access,PERMISSIVE,{authenticated},UPDATE,true,true
public,inventory_items,Authenticated write access,PERMISSIVE,{authenticated},INSERT,,true
public,inventory_items,Authenticated update access,PERMISSIVE,{authenticated},UPDATE,true,true
public,audit_workflows,Service role full access,PERMISSIVE,{service_role},ALL,true,true
public,ai_system_config,Service role full access,PERMISSIVE,{service_role},ALL,true,true
public,ai_system_config,Authenticated read access,PERMISSIVE,{authenticated},SELECT,true,
public,ai_system_config,Authenticated write access,PERMISSIVE,{authenticated},INSERT,,true
